,Cidade,País,Curso,Empresa dos sonhos,Educação,Nível de inglês,Nível de excel,Cursos extras,Gênero,Interesses,Outras línguas,Referência,Universidade,Estado,Situação
4419,paulínia,brasil,enfermagem,,graduação,intermediate,intermediate,cursos na área de saude mental. graduada em história.,feminino,"saude mental, enfermagem forence",espanhol intermediario,tv,faculdade anhanguera,são paulo,checkedin
4420,,,medicina,,graduação,,,,masculino,farmácia,,divulgação no campus,unicamp,,checkedin
4421,,,engenharia de petroleo,,graduação,,,,feminino,industrial de petroleo,,email,unip,,checkedin
4422,,,engenharia de computação,,graduação,,,,masculino,"engenharia, programação, empreendedorismo",,divulgação,unicamp,,checkedin
4423,,,engenharia mecânica,,graduação,,,,feminino,"industria, consultoria e financeiro",,amigos,usp - sc,,checkedin
4424,,,engenharia química,,graduação,,,,masculino,eng química / consultoria,,unicamp/amigos,unicamp,,checkedin
4425,,,engenharia química,,graduação,,,,masculino,engenharia,,email,unicamp,,checkedin
4426,,,química,,graduação,,,,feminino,industria,,facebook,unicamp,,checkedin
4427,,,ciências biológicas,,graduação,,,,masculino,"biotecnologia, microbiologia, biologia celular",,amigos,unicamp,,checkedin
4428,,,meio ambiente,,ensino médio,,,,masculino,"eng química, agrícola,",,amigos,cprocamp,,checkedin
4429,campinas,brasil,direito,concurso público polícia civil,graduação,intermediate,intermediate,"curso inglês, curso informática",feminino,jurídica (trabalhista e civil),espanhol básico,amigos,faculdade anhanguera - valinhos,são paulo,confirmed
4430,campinas,brasil,propaganda e marketing,google,graduação,advanced,basic,curso de produção de eventos corporativos,feminino,"marketing, administração",espanhol básico,irmão estudante na unicamp,unip,são paulo,checkedin
4431,,,física,,graduação,,advanced,,feminino,fisica,,amigo,unicamp,,checkedin
4432,campinas,brasil,relações internacionais,kpmg,graduação,intermediate,intermediate,,masculino,"consultoria, marketing",,amigo,facamp,são paulo,checkedin
4433,,afeganistão,engenharia agrícola,,graduação,,,,masculino,engenharia agricola,,unicamp,unicamp,,confirmed
4434,,,pedagogia,,graduação,,,,feminino,pesquisa,,email,unicamp,,checkedin
4435,campinas,brasil,engenharia de computação,google,graduação,intermediate,basic,,masculino,otimizacao e desenvolvimento,,amigos,unicamp,são paulo,checkedin
4436,poços de caldas,brasil,design,agência de publicidade ou editora de livros,,intermediate,intermediate,belas artes,feminino,"design gráfico, criação de arte, edição",,amigo,unicamp,minas gerais,checkedin
4437,,,engenharia de computação,,graduação,,,,masculino,computação,,email,unicamp,,checkedin
4438,,,,,ensino médio,,,,masculino,engenharia civil,,etecap,,,checkedin
4439,campinas,brasil,,,ensino médio,advanced,basic,técnico em meio ambiente,feminino,saúde,,divulgação de professores,,são paulo,checkedin
4440,,brasil,matemática,,graduação,,,,feminino,financeiro,,facebook,unicamp,,checkedin
4441,,,ciências biológicas,,graduação,,,,masculino,empresa,,amigo,puccamp,,checkedin
4442,,,administração,,,intermediate,advanced,,masculino,engenharia,,facebook,unicamp,,checkedin
4443,campinas,brasil,ciências econômicas,,graduação,intermediate,intermediate,,masculino,"financeira, consultoria, administrativo",espanhol intermediário,facebook,unicamp,são paulo,checkedin
4444,,,biologia,,graduação,,,,masculino,industrial,,unicamp,unicamp,,checkedin
4445,sumaré,brasil,publicidade e propaganda,,graduação,advanced,basic,wizard curso de inglês,masculino,"comunicação, criação, mídia.",inglês avançado,namorada.,metrocamp,são paulo,checkedin
4446,americana,brasil,engenharia de produção,honda,graduação,intermediate,basic,"curso de mecânica, curso de hardware",masculino,"vendas, compras, desenvolvimento",,amigo,unimep,são paulo,confirmed
